jobsite_id,name,region,city,lat,lon,project_type,phase,urgency,required_headcount,required_skills,required_certifications,required_equipment,shift_start,shift_end,weather_risk,schedule_volatility,can_accept_robotics,inspection_need,change_order_exposure,status
J001,Lehigh Acres / Immokalee Municipal 01,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.713626,-81.605826,municipal,interiors,3,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:30,17:00,0.341,0.316,True,0.808,1744.45,inspection pending
J002,Punta Gorda / Sarasota Education 02,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.199666,-82.015025,education,closeout,3,2,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,06:30,15:30,0.655,0.531,True,0.684,10802.02,inspection pending
J003,Lehigh Acres / Immokalee Healthcare 03,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.641524,-81.659358,healthcare,structure,5,2,MEP coordinator|project superintendent|safety manager,First Aid/CPR|ICRA awareness|MEP coordination|OSHA 30,QA/QC inspection kit,06:30,16:00,0.195,0.826,False,0.47,635.36,ready
J004,Naples Municipal 04,Naples,Naples,26.09357,-81.853304,municipal,inspection readiness,3,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30|stormwater inspector,document control kit,07:00,15:00,0.324,0.203,True,0.675,4105.17,hot
J005,Bonita Springs / Estero Education 05,Bonita-Estero,Bonita Springs / Estero,26.289531,-81.867674,education,interiors,3,2,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,07:30,15:30,0.642,0.5,True,0.826,6007.2,inspection pending
J006,Fort Myers Municipal 06,Fort Myers,Fort Myers,26.690406,-81.78395,municipal,interiors,3,1,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,06:30,15:00,0.229,0.402,False,0.432,2891.62,inspection pending
J007,Bonita Springs / Estero Clubhouse/Amenity 07,Bonita-Estero,Bonita Springs / Estero,26.429715,-81.71252,clubhouse/amenity,structure,2,3,quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,temporary office kit,06:30,15:00,0.125,0.438,False,0.195,3033.94,inspection pending
J008,Lehigh Acres / Immokalee Industrial 08,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.664349,-81.639593,industrial,MEP rough-in,4,1,MEP coordinator|project superintendent|safety manager,First Aid/CPR|MEP coordination|OSHA 30,safety trailer,07:00,16:00,0.341,0.622,False,0.404,3683.58,inspection pending
J009,Bonita Springs / Estero Industrial 09,Bonita-Estero,Bonita Springs / Estero,26.32837,-81.800822,industrial,MEP rough-in,1,3,MEP coordinator|project superintendent|safety manager,First Aid/CPR|MEP coordination|OSHA 30,safety trailer,06:30,15:30,0.445,0.15,False,0.387,500.0,inspection pending
J010,Punta Gorda / Sarasota Adaptive Reuse 10,Sarasota-Punta Gorda,Punta Gorda / Sarasota,26.978993,-82.136356,adaptive reuse,inspection readiness,5,2,project engineer|project executive,,laser scanner,06:30,15:30,0.233,0.249,True,0.543,10274.1,inspection pending
J011,Naples Adaptive Reuse 11,Naples,Naples,26.10498,-81.763995,adaptive reuse,interiors,5,3,assistant superintendent|closeout manager|quality manager,First Aid/CPR|OSHA 30|quality management,document control kit,07:30,15:30,0.334,0.58,False,0.189,1674.91,ready
J012,Lehigh Acres / Immokalee Municipal 12,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.645396,-81.658388,municipal,inspection readiness,1,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30|fall protection,document control kit,07:30,17:00,0.245,0.343,True,0.748,2893.19,ready
J013,Naples Education 13,Naples,Naples,26.194595,-81.919356,education,structure,2,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:30,15:30,0.39,0.398,False,0.206,747.97,ready
J014,Punta Gorda / Sarasota Education 14,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.254766,-82.014831,education,MEP rough-in,4,1,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:00,17:00,0.354,0.395,True,0.571,2239.43,ready
J015,Punta Gorda / Sarasota Municipal 15,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.119606,-81.955994,municipal,MEP rough-in,3,2,project manager|quality manager|safety manager,First Aid/CPR|LEED AP|OSHA 30|quality management,document control kit,06:30,17:00,0.476,0.122,False,0.301,3127.42,ready
J016,Bonita Springs / Estero Clubhouse/Amenity 16,Bonita-Estero,Bonita Springs / Estero,26.413033,-81.749624,clubhouse/amenity,foundations,3,4,project manager|safety manager,First Aid/CPR|OSHA 30,layout station,07:30,15:00,0.255,0.703,True,0.878,4508.64,ready
J017,Fort Myers Clubhouse/Amenity 17,Fort Myers,Fort Myers,26.615034,-81.953604,clubhouse/amenity,warranty,2,3,project engineer|self-perform lead|senior project manager,,QA/QC inspection kit,07:00,17:00,0.614,0.192,True,0.582,693.36,ready
J018,Fort Myers Multifamily 18,Fort Myers,Fort Myers,26.805431,-81.849911,multifamily,inspection readiness,3,1,assistant superintendent|project superintendent|scheduler,LEED AP,layout station,06:30,17:00,0.69,0.634,True,0.489,4536.13,hot
J019,Fort Myers Education 19,Fort Myers,Fort Myers,26.584032,-81.921125,education,MEP rough-in,3,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,06:30,15:00,0.385,0.256,True,0.8,6712.59,hot
J020,Punta Gorda / Sarasota Hospitality 20,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.201725,-81.973861,hospitality,MEP rough-in,4,2,closeout manager|project manager,First Aid/CPR|OSHA 30,progress camera kit,07:30,15:30,0.23,0.24,True,0.637,5926.74,ready
J021,Lehigh Acres / Immokalee Municipal 21,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.700109,-81.529641,municipal,structure,3,4,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management|stormwater inspector,document control kit,07:00,15:30,0.169,0.233,True,0.792,2935.97,ready
J022,Naples Healthcare 22,Naples,Naples,26.168342,-81.790615,healthcare,MEP rough-in,2,2,MEP coordinator|project superintendent|safety manager,First Aid/CPR|ICRA awareness|MEP coordination|OSHA 30,QA/QC inspection kit,07:30,16:00,0.281,0.154,True,0.652,3017.71,ready
J023,Fort Myers Multifamily 23,Fort Myers,Fort Myers,26.717484,-81.992761,multifamily,inspection readiness,4,2,assistant superintendent|project superintendent|scheduler,,layout station,07:30,16:00,0.32,0.66,True,0.694,3984.65,inspection pending
J024,Cape Coral Multifamily 24,Cape Coral,Cape Coral,26.492393,-81.906997,multifamily,inspection readiness,3,3,assistant superintendent|project superintendent|scheduler,,layout station,07:30,15:00,0.085,0.145,True,0.108,916.5,hot
J025,Fort Myers Multifamily 25,Fort Myers,Fort Myers,26.668602,-81.957675,multifamily,interiors,4,2,assistant superintendent|project engineer|project superintendent,First Aid/CPR|OSHA 30,layout station,07:30,16:00,0.022,0.21,True,0.966,1776.41,ready
J026,Fort Myers Multifamily 26,Fort Myers,Fort Myers,26.639091,-81.870482,multifamily,mobilization,2,2,assistant superintendent|project engineer|project superintendent,,layout station,06:30,15:00,0.136,0.422,True,0.924,1311.15,hot
J027,Punta Gorda / Sarasota Municipal 27,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.241939,-82.031626,municipal,inspection readiness,5,3,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:00,16:00,0.25,0.435,True,0.314,944.87,ready
J028,Punta Gorda / Sarasota Healthcare 28,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.239439,-82.001231,healthcare,warranty,3,2,MEP coordinator|project superintendent|safety manager,First Aid/CPR|ICRA awareness|MEP coordination|OSHA 30|permit coordination,QA/QC inspection kit,07:00,17:00,0.375,0.514,False,0.464,5740.36,ready
J029,Lehigh Acres / Immokalee Municipal 29,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.648628,-81.522554,municipal,interiors,5,4,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,07:00,16:00,0.323,0.21,False,0.364,9857.13,inspection pending
J030,Punta Gorda / Sarasota Industrial 30,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.161624,-82.056242,industrial,preconstruction handoff,1,3,MEP coordinator|project superintendent|safety manager,First Aid/CPR|MEP coordination|OSHA 30,safety trailer,07:00,15:00,0.321,0.132,False,0.122,3137.36,ready
J031,Fort Myers Healthcare 31,Fort Myers,Fort Myers,26.557952,-81.834098,healthcare,mobilization,4,2,MEP coordinator|project superintendent|safety manager,First Aid/CPR|ICRA awareness|MEP coordination|OSHA 30,QA/QC inspection kit,07:30,15:00,0.108,0.611,True,0.633,2852.02,hot
J032,Bonita Springs / Estero Hospitality 32,Bonita-Estero,Bonita Springs / Estero,26.335893,-81.737729,hospitality,turnover,5,2,project manager|quality manager,First Aid/CPR|OSHA 30|quality management,progress camera kit,07:00,15:30,0.109,0.298,True,0.861,4901.34,ready
J033,Fort Myers Education 33,Fort Myers,Fort Myers,26.532966,-81.961742,education,MEP rough-in,1,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,06:30,16:00,0.403,0.662,False,0.352,877.46,hot
J034,Bonita Springs / Estero Commercial Interiors 34,Bonita-Estero,Bonita Springs / Estero,26.415511,-81.802425,commercial interiors,MEP rough-in,4,2,assistant superintendent|project engineer|project manager,First Aid/CPR|OSHA 30,site tablet kit,07:00,15:30,0.113,0.32,False,0.304,6440.41,blocked
J035,Bonita Springs / Estero Commercial Interiors 35,Bonita-Estero,Bonita Springs / Estero,26.363073,-81.65435,commercial interiors,MEP rough-in,2,3,closeout manager|project engineer|project manager,,site tablet kit,07:00,16:00,0.115,0.046,True,0.832,2750.83,hot
J036,Cape Coral Hospitality 36,Cape Coral,Cape Coral,26.583934,-81.968551,hospitality,MEP rough-in,3,1,project manager|quality manager,First Aid/CPR|OSHA 30|permit coordination|quality management,progress camera kit,07:00,15:30,0.095,0.297,False,0.494,1599.47,ready
J037,Punta Gorda / Sarasota Adaptive Reuse 37,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.111177,-82.105581,adaptive reuse,inspection readiness,3,1,closeout manager|project superintendent|self-perform lead,,layout station,07:30,15:00,0.411,0.46,True,0.513,1611.0,ready
J038,Fort Myers Multifamily 38,Fort Myers,Fort Myers,26.680909,-82.052334,multifamily,interiors,4,3,assistant superintendent|project superintendent|scheduler,fall protection,layout station,06:30,16:00,0.363,0.632,False,0.319,6016.32,blocked
J039,Naples Municipal 39,Naples,Naples,26.043623,-81.814751,municipal,structure,2,3,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,07:00,15:30,0.449,0.483,False,0.217,5284.9,ready
J040,Fort Myers Municipal 40,Fort Myers,Fort Myers,26.615457,-81.891159,municipal,closeout,5,1,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,06:30,16:00,0.066,0.859,True,0.871,7047.75,ready
J041,Naples Adaptive Reuse 41,Naples,Naples,26.191199,-81.859112,adaptive reuse,structure,1,3,safety manager|scheduler,First Aid/CPR|OSHA 30|permit coordination,pickup truck,06:30,17:00,0.537,0.553,False,0.424,2469.85,blocked
J042,Fort Myers Office Renovation 42,Fort Myers,Fort Myers,26.754057,-81.806088,office renovation,MEP rough-in,3,3,MEP coordinator|project engineer|project manager,First Aid/CPR|MEP coordination|OSHA 30,punchlist tablet set,07:30,16:00,0.132,0.073,True,0.674,3440.15,inspection pending
J043,Lehigh Acres / Immokalee Municipal 43,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.690417,-81.583326,municipal,inspection readiness,4,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:00,15:00,0.294,0.262,True,0.735,2030.0,ready
J044,Fort Myers Adaptive Reuse 44,Fort Myers,Fort Myers,26.621937,-81.979931,adaptive reuse,foundations,3,3,assistant superintendent|project manager,First Aid/CPR|OSHA 30,temporary office kit,07:30,15:30,0.145,0.302,False,0.231,500.0,blocked
J045,Lehigh Acres / Immokalee Office Renovation 45,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.695061,-81.624418,office renovation,mobilization,4,1,assistant project manager|project engineer|project manager,,punchlist tablet set,07:30,15:00,0.389,0.616,False,0.181,2465.0,ready
J046,Lehigh Acres / Immokalee Education 46,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.620806,-81.527586,education,turnover,4,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:00,16:00,0.345,0.493,True,0.55,5378.86,ready
J047,Cape Coral Multifamily 47,Cape Coral,Cape Coral,26.66592,-82.027985,multifamily,inspection readiness,4,1,assistant superintendent|project engineer|project superintendent,First Aid/CPR|OSHA 30,layout station,06:30,15:00,0.053,0.502,True,0.556,2766.57,ready
J048,Punta Gorda / Sarasota Education 48,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.088888,-82.127384,education,inspection readiness,3,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:30,17:00,0.128,0.268,True,0.058,2727.05,ready
J049,Punta Gorda / Sarasota Education 49,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.135745,-81.915663,education,interiors,2,1,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:30,15:30,0.114,0.435,False,0.339,4593.07,ready
J050,Naples Clubhouse/Amenity 50,Naples,Naples,26.084834,-81.664338,clubhouse/amenity,MEP rough-in,1,2,closeout manager|self-perform lead,First Aid/CPR|OSHA 30,laser scanner,07:30,16:00,0.639,0.026,False,0.493,3814.58,ready
J051,Punta Gorda / Sarasota Municipal 51,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.059343,-81.999766,municipal,inspection readiness,3,1,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,07:30,16:00,0.394,0.338,True,0.105,1433.93,hot
J052,Bonita Springs / Estero Commercial Interiors 52,Bonita-Estero,Bonita Springs / Estero,26.417268,-81.750174,commercial interiors,turnover,4,2,closeout manager|project engineer|project manager,First Aid/CPR|OSHA 30|permit coordination,site tablet kit,07:00,15:30,0.222,0.21,True,0.43,5105.44,hot
J053,Cape Coral Commercial Interiors 53,Cape Coral,Cape Coral,26.700698,-82.044849,commercial interiors,inspection readiness,1,2,closeout manager|project engineer|project manager,,site tablet kit,07:30,15:30,0.191,0.372,True,0.632,3206.17,ready
J054,Lehigh Acres / Immokalee Commercial Interiors 54,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.556638,-81.626056,commercial interiors,structure,5,2,assistant superintendent|project engineer|project manager,First Aid/CPR|OSHA 30,site tablet kit,07:30,15:30,0.254,0.734,True,0.521,5815.29,blocked
J055,Punta Gorda / Sarasota Education 55,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.144643,-82.032696,education,preconstruction handoff,2,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,06:30,16:00,0.099,0.527,True,0.626,5123.16,blocked
